SFAM
LATEST_ANNOUNCEMENT_DT
3/21/1996
7/8/1996
9/19/1996
12/17/1996
3/19/1997
7/2/1997
9/17/1997
12/17/1997
3/18/1998
7/1/1998
9/24/1998
12/22/1998
3/25/1999
7/21/1999
9/22/1999
12/21/1999
3/20/2000
6/29/2000
9/26/2000
12/19/2000
3/27/2001
6/26/2001
9/20/2001
12/19/2001
3/26/2002
7/2/2002
9/26/2002
