Y
LATEST_ANNOUNCEMENT_DT
4/22/1993
7/22/1993
10/21/1993
2/23/1994
4/21/1994
7/25/1994
10/21/1994
2/28/1995
4/20/1995
7/26/1995
10/19/1995
2/22/1996
4/23/1996
7/18/1996
10/23/1996
2/19/1997
4/23/1997
7/23/1997
10/27/1997
2/23/1998
4/24/1998
7/21/1998
10/21/1998
2/22/1999
4/22/1999
7/26/1999
10/25/1999
2/28/2000
5/5/2000
8/10/2000
10/23/2000
3/8/2001
4/26/2001
7/31/2001
11/6/2001
2/26/2002
4/25/2002
8/2/2002
11/5/2002
3/18/2003
4/25/2003
8/6/2003
11/12/2003
2/26/2004
4/22/2004
8/3/2004
11/9/2004
3/8/2005
4/22/2005
8/8/2005
11/8/2005
2/27/2006
4/27/2006
8/9/2006
11/6/2006
2/27/2007
4/26/2007
8/8/2007
11/6/2007
2/26/2008
4/24/2008
8/7/2008
11/6/2008
2/26/2009
4/23/2009
8/6/2009
11/5/2009
2/25/2010
4/22/2010
8/5/2010
11/4/2010
2/24/2011
4/28/2011
8/4/2011
11/7/2011
2/24/2012
5/7/2012
8/6/2012
11/6/2012
2/21/2013
5/6/2013
8/5/2013
11/4/2013
2/25/2014
5/5/2014
8/4/2014
11/3/2014
2/24/2015
5/5/2015
8/4/2015
11/03/2015
02/23/2016
05/05/2016
08/02/2016
11/01/2016
02/22/2017
05/04/2017
