HYDL
LATEST_ANNOUNCEMENT_DT
3/31/2000
9/25/2000
10/25/2000
2/6/2001
4/24/2001
7/25/2001
10/23/2001
2/4/2002
4/24/2002
7/22/2002
10/22/2002
2/3/2003
4/22/2003
7/28/2003
10/28/2003
2/2/2004
4/28/2004
7/26/2004
10/25/2004
2/1/2005
4/25/2005
7/26/2005
10/24/2005
1/30/2006
4/24/2006
7/25/2006
10/30/2006
1/31/2007
4/24/2007
