CTCI
LATEST_ANNOUNCEMENT_DT
3/31/1996
6/30/1996
9/30/1996
12/31/1996
5/15/1997
8/14/1997
11/13/1997
12/31/1997
5/15/1998
8/14/1998
12/18/1998
3/29/1999
5/14/1999
7/21/1999
10/28/1999
3/6/2000
4/26/2000
7/26/2000
10/26/2000
3/5/2001
4/30/2001
7/23/2001
10/22/2001
2/26/2002
4/23/2002
7/29/2002
10/24/2002
2/27/2003
4/22/2003
7/22/2003
10/21/2003
2/24/2004
4/27/2004
8/4/2004
10/26/2004
3/17/2005
5/3/2005
7/28/2005
10/27/2005
3/2/2006
4/27/2006
7/27/2006
10/26/2006
3/1/2007
5/1/2007
8/2/2007
