TGX
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/23/1996
10/22/1996
1/29/1997
4/24/1997
7/16/1997
10/16/1997
1/27/1998
4/21/1998
7/21/1998
10/22/1998
1/11/1999
4/19/1999
7/20/1999
9/30/1999
1/18/2000
4/18/2000
8/10/2000
10/17/2000
1/23/2001
4/24/2001
7/17/2001
10/16/2001
1/22/2002
4/23/2002
7/23/2002
10/22/2002
1/21/2003
4/22/2003
7/22/2003
10/22/2003
1/20/2004
4/20/2004
7/20/2004
10/19/2004
1/21/2005
4/22/2005
7/19/2005
11/8/2005
1/18/2006
4/20/2006
7/19/2006
11/1/2006
1/30/2007
5/8/2007
8/2/2007
11/1/2007
2/7/2008
5/1/2008
7/31/2008
10/30/2008
2/19/2009
5/7/2009
8/6/2009
11/5/2009
2/11/2010
5/4/2010
8/10/2010
11/9/2010
2/15/2011
5/5/2011
8/11/2011
11/10/2011
2/23/2012
5/10/2012
8/13/2012
11/8/2012
2/14/2013
5/9/2013
8/13/2013
