MGAM
LATEST_ANNOUNCEMENT_DT
5/7/1996
8/14/1996
12/30/1996
2/14/1997
5/7/1997
8/4/1997
12/29/1997
2/18/1998
5/15/1998
8/12/1998
12/7/1998
2/16/1999
5/12/1999
8/11/1999
12/29/1999
2/14/2000
5/11/2000
8/2/2000
12/20/2000
2/6/2001
5/7/2001
7/16/2001
12/21/2001
1/31/2002
4/22/2002
7/24/2002
11/13/2002
1/29/2003
4/29/2003
7/30/2003
11/24/2003
1/27/2004
4/28/2004
7/29/2004
11/17/2004
1/27/2005
4/13/2005
7/28/2005
12/1/2005
2/7/2006
5/10/2006
8/8/2006
12/14/2006
2/8/2007
5/9/2007
8/9/2007
12/11/2007
2/6/2008
5/7/2008
8/6/2008
12/10/2008
2/4/2009
5/6/2009
8/5/2009
12/8/2009
2/9/2010
5/6/2010
8/5/2010
11/11/2010
2/3/2011
5/4/2011
8/4/2011
11/17/2011
2/1/2012
5/3/2012
7/31/2012
11/15/2012
1/30/2013
4/30/2013
7/30/2013
11/14/2013
1/30/2014
4/30/2014
7/30/2014
11/12/2014
