AKRX
LATEST_ANNOUNCEMENT_DT
5/7/1996
10/29/1996
3/31/1997
4/28/1997
7/22/1997
10/21/1997
2/24/1998
4/29/1998
7/21/1998
10/20/1998
2/16/1999
4/20/1999
7/20/1999
10/19/1999
2/22/2000
4/25/2000
7/25/2000
10/26/2000
2/20/2001
5/22/2001
8/8/2001
11/6/2001
2/26/2002
5/22/2002
8/21/2002
11/15/2002
5/21/2003
5/21/2003
8/14/2003
11/19/2003
3/30/2004
5/14/2004
8/13/2004
11/10/2004
2/28/2005
5/6/2005
8/1/2005
11/7/2005
3/6/2006
5/1/2006
7/26/2006
10/30/2006
3/5/2007
5/7/2007
7/30/2007
11/1/2007
3/11/2008
5/12/2008
7/31/2008
11/3/2008
3/30/2009
5/11/2009
8/11/2009
11/10/2009
3/15/2010
5/3/2010
8/3/2010
11/1/2010
3/1/2011
5/3/2011
8/2/2011
11/1/2011
3/6/2012
5/8/2012
8/7/2012
11/6/2012
2/26/2013
5/7/2013
8/6/2013
11/5/2013
3/3/2014
5/6/2014
8/5/2014
11/6/2014
2/26/2015
05/16/2016
08/04/2016
11/03/2016
03/01/2017
