INMTQ
LATEST_ANNOUNCEMENT_DT
4/11/1996
7/18/1996
10/17/1996
1/30/1997
4/10/1997
7/17/1997
10/16/1997
2/2/1998
4/16/1998
7/16/1998
10/15/1998
1/28/1999
4/12/1999
8/16/1999
10/14/1999
1/27/2000
4/13/2000
7/13/2000
10/12/2000
2/1/2001
5/15/2001
7/12/2001
10/11/2001
2/7/2002
4/11/2002
7/11/2002
10/10/2002
2/6/2003
4/16/2003
7/17/2003
10/16/2003
2/5/2004
4/15/2004
7/15/2004
11/9/2004
2/5/2005
8/15/2005
8/15/2005
