SLGN
LATEST_ANNOUNCEMENT_DT
5/1/1997
7/29/1997
10/27/1997
1/27/1998
4/23/1998
7/27/1998
10/22/1998
1/28/1999
4/22/1999
7/22/1999
10/21/1999
1/31/2000
4/20/2000
8/8/2000
10/26/2000
1/31/2001
4/24/2001
7/24/2001
10/24/2001
1/31/2002
4/23/2002
7/24/2002
10/24/2002
1/30/2003
4/23/2003
7/23/2003
10/22/2003
2/4/2004
4/22/2004
7/21/2004
10/21/2004
2/9/2005
4/28/2005
7/28/2005
10/20/2005
2/1/2006
4/20/2006
7/27/2006
10/19/2006
1/31/2007
4/26/2007
7/18/2007
10/25/2007
1/29/2008
4/23/2008
7/23/2008
10/22/2008
2/3/2009
4/30/2009
7/22/2009
10/21/2009
2/2/2010
4/29/2010
7/28/2010
10/20/2010
2/1/2011
5/4/2011
7/27/2011
10/26/2011
1/31/2012
4/26/2012
7/25/2012
10/24/2012
1/29/2013
4/24/2013
7/24/2013
10/23/2013
1/28/2014
4/30/2014
7/23/2014
10/22/2014
2/3/2015
4/29/2015
7/22/2015
10/21/2015
02/02/2016
04/27/2016
07/27/2016
10/26/2016
01/31/2017
04/26/2017
