CTG
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/16/1996
10/15/1996
2/4/1997
4/15/1997
7/15/1997
10/15/1997
2/9/1998
4/13/1998
7/13/1998
10/12/1998
2/8/1999
4/19/1999
7/12/1999
10/11/1999
2/7/2000
4/17/2000
7/17/2000
10/16/2000
2/5/2001
4/16/2001
7/16/2001
10/15/2001
2/11/2002
4/15/2002
7/15/2002
10/14/2002
2/10/2003
4/14/2003
7/14/2003
10/13/2003
2/9/2004
4/19/2004
7/19/2004
10/18/2004
2/28/2005
4/27/2005
7/27/2005
10/26/2005
3/8/2006
4/26/2006
7/25/2006
10/24/2006
2/26/2007
4/24/2007
7/24/2007
10/23/2007
2/20/2008
4/23/2008
7/22/2008
10/21/2008
2/24/2009
4/28/2009
7/28/2009
10/27/2009
2/23/2010
4/27/2010
7/27/2010
10/26/2010
2/22/2011
4/25/2011
7/25/2011
10/24/2011
2/21/2012
4/23/2012
7/23/2012
10/22/2012
2/19/2013
4/22/2013
7/22/2013
10/21/2013
2/25/2014
4/22/2014
7/22/2014
10/21/2014
2/24/2015
4/28/2015
7/28/2015
10/27/2015
2/23/2016
