TRMK
LATEST_ANNOUNCEMENT_DT
4/20/1992
10/16/1992
1/22/1993
1/18/1994
4/15/1994
7/15/1994
10/14/1994
1/13/1995
4/17/1995
7/14/1995
10/13/1995
1/13/1996
4/12/1996
7/12/1996
10/11/1996
1/17/1997
4/11/1997
7/8/1997
10/15/1997
1/14/1998
4/14/1998
7/14/1998
10/13/1998
1/12/1999
4/13/1999
7/13/1999
10/12/1999
1/11/2000
4/11/2000
7/11/2000
10/10/2000
1/9/2001
4/10/2001
7/10/2001
10/9/2001
1/8/2002
4/9/2002
7/16/2002
10/15/2002
1/21/2003
4/15/2003
7/15/2003
10/21/2003
1/20/2004
4/20/2004
7/20/2004
10/19/2004
1/18/2005
4/19/2005
7/19/2005
10/18/2005
1/17/2006
4/18/2006
7/18/2006
10/17/2006
1/16/2007
4/17/2007
7/17/2007
10/23/2007
1/22/2008
4/22/2008
7/22/2008
10/28/2008
1/27/2009
4/28/2009
7/28/2009
10/27/2009
1/26/2010
4/27/2010
7/27/2010
10/26/2010
1/25/2011
4/26/2011
7/26/2011
10/25/2011
1/24/2012
4/24/2012
7/24/2012
10/23/2012
1/22/2013
4/23/2013
7/23/2013
10/22/2013
1/28/2014
4/22/2014
7/22/2014
10/28/2014
1/27/2015
4/28/2015
7/28/2015
10/27/2015
01/26/2016
04/26/2016
07/26/2016
10/25/2016
01/24/2017
04/25/2017
