MVK
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/15/1996
10/21/1996
1/22/1997
4/17/1997
7/15/1997
10/20/1997
1/15/1998
4/16/1998
7/14/1998
10/19/1998
1/19/1999
4/19/1999
7/21/1999
10/20/1999
4/19/2000
7/25/2000
10/25/2000
1/23/2001
4/18/2001
7/17/2001
10/16/2001
1/16/2002
4/16/2002
7/17/2002
10/15/2002
1/20/2003
4/17/2003
7/16/2003
10/15/2003
1/21/2004
4/19/2004
7/20/2004
10/18/2004
2/9/2005
4/25/2005
7/25/2005
10/24/2005
2/8/2006
4/25/2006
8/1/2006
