NLS
LATEST_ANNOUNCEMENT_DT
5/14/1999
7/26/1999
10/25/1999
2/22/2000
4/18/2000
7/18/2000
10/17/2000
1/23/2001
4/17/2001
7/17/2001
10/16/2001
1/22/2002
4/16/2002
7/17/2002
10/15/2002
2/6/2003
4/30/2003
7/30/2003
10/28/2003
1/28/2004
4/29/2004
7/22/2004
10/26/2004
1/19/2005
4/27/2005
7/27/2005
11/2/2005
2/3/2006
5/3/2006
7/31/2006
11/1/2006
2/7/2007
4/25/2007
7/16/2007
10/18/2007
2/13/2008
5/5/2008
7/31/2008
11/4/2008
3/10/2009
5/11/2009
8/10/2009
11/9/2009
3/1/2010
5/12/2010
8/16/2010
11/3/2010
3/8/2011
4/28/2011
8/8/2011
11/7/2011
3/12/2012
5/7/2012
8/6/2012
11/5/2012
3/4/2013
5/6/2013
8/5/2013
11/4/2013
2/24/2014
5/5/2014
8/4/2014
11/3/2014
2/23/2015
5/4/2015
8/3/2015
11/2/2015
2/22/2016
10/31/2016
02/21/2017
05/08/2017
