PTON
LATEST_ANNOUNCEMENT_DT
2/11/1999
4/20/1999
7/26/1999
10/21/1999
2/10/2000
4/20/2000
7/25/2000
10/24/2000
2/8/2001
4/26/2001
7/31/2001
10/30/2001
2/13/2002
5/1/2002
7/30/2002
11/1/2002
3/14/2003
5/1/2003
8/7/2003
11/6/2003
2/26/2004
5/17/2004
8/16/2004
11/15/2004
4/15/2005
5/20/2005
8/15/2005
11/15/2005
3/21/2006
5/15/2006
8/14/2006
11/14/2006
