ANIP
LATEST_ANNOUNCEMENT_DT
3/31/2000
6/30/2000
9/30/2000
3/30/2001
3/31/2001
6/30/2001
11/15/2001
3/28/2002
5/21/2002
8/14/2002
11/14/2002
4/22/2003
5/15/2003
8/14/2003
11/14/2003
3/26/2004
5/17/2004
8/16/2004
11/12/2004
3/30/2005
5/13/2005
8/12/2005
11/10/2005
3/31/2006
5/12/2006
8/14/2006
11/14/2006
3/30/2007
5/1/2007
8/14/2007
11/13/2007
3/17/2008
5/9/2008
8/12/2008
11/10/2008
3/16/2009
5/11/2009
8/7/2009
11/9/2009
3/30/2010
5/14/2010
8/12/2010
11/12/2010
3/16/2011
5/10/2011
7/25/2011
11/9/2011
3/13/2012
5/8/2012
8/1/2012
11/8/2012
2/28/2013
5/10/2013
8/9/2013
11/7/2013
2/18/2014
5/5/2014
8/4/2014
11/3/2014
2/19/2015
5/5/2015
8/4/2015
11/3/2015
2/23/2016
05/05/2016
08/04/2016
11/03/2016
03/02/2017
05/04/2017
