MLRMF
LATEST_ANNOUNCEMENT_DT
5/9/1996
8/8/1996
11/8/1996
2/20/1997
5/8/1997
8/7/1997
11/6/1997
2/18/1998
5/7/1998
8/6/1998
11/5/1998
2/17/1999
5/6/1999
8/5/1999
11/4/1999
2/16/2000
5/4/2000
8/2/2000
11/2/2000
2/15/2001
5/8/2001
8/8/2001
11/6/2001
2/19/2002
