JSTN
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/16/1996
10/15/1996
1/29/1997
4/15/1997
7/15/1997
10/15/1997
1/28/1998
4/14/1998
7/15/1998
10/15/1998
2/4/1999
4/15/1999
7/20/1999
10/19/1999
2/3/2000
4/18/2000
