GOSHA
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/23/1996
10/22/1996
2/19/1997
4/22/1997
7/22/1997
10/21/1997
2/11/1998
4/22/1998
7/22/1998
10/21/1998
2/10/1999
4/21/1999
7/21/1999
10/18/1999
2/15/2000
4/25/2000
7/25/2000
10/24/2000
2/13/2001
4/25/2001
7/25/2001
10/24/2001
2/7/2002
4/23/2002
7/22/2002
10/22/2002
2/5/2003
4/25/2003
7/23/2003
10/22/2003
2/4/2004
4/21/2004
7/21/2004
10/20/2004
2/2/2005
4/20/2005
