TTEK
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/16/1996
11/13/1996
1/15/1997
4/16/1997
7/16/1997
11/12/1997
1/14/1998
4/15/1998
7/15/1998
11/18/1998
1/18/1999
4/21/1999
7/21/1999
11/17/1999
1/18/2000
4/19/2000
7/19/2000
11/15/2000
1/17/2001
4/18/2001
7/18/2001
11/14/2001
1/16/2002
4/17/2002
7/17/2002
11/14/2002
1/22/2003
4/23/2003
7/23/2003
11/19/2003
1/22/2004
4/21/2004
7/21/2004
11/17/2004
1/26/2005
4/28/2005
7/27/2005
11/16/2005
1/25/2006
5/3/2006
8/2/2006
11/15/2006
1/31/2007
5/2/2007
8/1/2007
11/14/2007
1/30/2008
4/30/2008
7/30/2008
11/12/2008
1/28/2009
4/29/2009
7/29/2009
11/11/2009
1/27/2010
4/28/2010
7/28/2010
11/10/2010
2/2/2011
5/4/2011
8/3/2011
11/9/2011
2/1/2012
5/2/2012
8/1/2012
11/7/2012
1/30/2013
5/1/2013
8/7/2013
11/13/2013
1/29/2014
4/30/2014
7/30/2014
11/12/2014
1/28/2015
4/29/2015
7/29/2015
11/11/2015
1/27/2016
04/27/2016
07/27/2016
11/09/2016
02/01/2017
04/26/2017
