IPAR
LATEST_ANNOUNCEMENT_DT
5/9/1996
8/14/1996
11/13/1996
3/27/1997
5/15/1997
8/12/1997
11/12/1997
4/14/1998
5/6/1998
8/11/1998
11/12/1998
3/18/1999
5/13/1999
8/4/1999
11/10/1999
3/9/2000
5/9/2000
8/7/2000
11/1/2000
3/6/2001
5/8/2001
8/7/2001
11/6/2001
3/12/2002
5/13/2002
8/6/2002
11/5/2002
3/12/2003
5/6/2003
8/6/2003
11/5/2003
3/9/2004
5/10/2004
8/11/2004
11/10/2004
3/9/2005
5/10/2005
8/9/2005
11/9/2005
3/8/2006
5/10/2006
8/9/2006
11/8/2006
3/12/2007
5/9/2007
8/8/2007
11/7/2007
3/10/2008
5/7/2008
8/11/2008
11/10/2008
3/11/2009
5/11/2009
8/10/2009
11/9/2009
3/10/2010
5/10/2010
8/9/2010
11/9/2010
3/8/2011
5/9/2011
8/9/2011
11/9/2011
3/12/2012
5/9/2012
8/8/2012
11/7/2012
3/12/2013
5/8/2013
8/7/2013
11/6/2013
3/11/2014
5/7/2014
8/11/2014
11/10/2014
3/11/2015
5/11/2015
8/7/2015
11/9/2015
3/14/2016
05/10/2016
08/09/2016
11/08/2016
03/13/2017
