USCR
LATEST_ANNOUNCEMENT_DT
5/8/2008
8/7/2008
11/10/2008
3/13/2009
5/8/2009
8/7/2009
11/9/2009
3/16/2010
5/10/2010
8/9/2010
11/9/2010
3/2/2011
5/6/2011
8/5/2011
11/4/2011
3/9/2012
5/11/2012
8/9/2012
11/8/2012
3/7/2013
5/9/2013
8/8/2013
11/7/2013
3/6/2014
5/8/2014
8/7/2014
11/6/2014
3/5/2015
5/7/2015
8/6/2015
11/5/2015
3/3/2016
05/05/2016
08/04/2016
11/03/2016
02/28/2017
05/04/2017
