MSTR
LATEST_ANNOUNCEMENT_DT
7/29/1998
10/29/1998
1/21/1999
4/21/1999
7/21/1999
10/18/1999
1/27/2000
4/26/2000
7/26/2000
10/26/2000
2/6/2001
4/30/2001
7/31/2001
10/30/2001
1/31/2002
4/29/2002
7/30/2002
10/24/2002
1/31/2003
4/29/2003
7/29/2003
10/28/2003
1/29/2004
4/27/2004
7/27/2004
10/26/2004
1/27/2005
4/28/2005
7/28/2005
10/27/2005
1/31/2006
4/27/2006
7/28/2006
10/26/2006
1/26/2007
5/7/2007
7/27/2007
10/31/2007
2/1/2008
5/1/2008
8/4/2008
10/30/2008
2/2/2009
5/6/2009
7/30/2009
10/29/2009
2/3/2010
4/29/2010
8/2/2010
11/1/2010
1/25/2011
5/4/2011
8/2/2011
10/31/2011
1/30/2012
5/2/2012
7/30/2012
10/29/2012
1/28/2013
4/29/2013
7/29/2013
10/28/2013
1/27/2014
4/28/2014
7/28/2014
10/27/2014
1/26/2015
4/28/2015
7/27/2015
10/26/2015
1/27/2016
04/27/2016
07/28/2016
10/27/2016
01/31/2017
04/26/2017
