TGI
LATEST_ANNOUNCEMENT_DT
8/19/1996
11/20/1996
1/29/1997
4/23/1997
7/23/1997
10/22/1997
1/28/1998
4/20/1998
7/21/1998
10/21/1998
1/21/1999
4/19/1999
7/28/1999
10/27/1999
1/25/2000
4/25/2000
7/26/2000
10/25/2000
1/25/2001
4/19/2001
7/25/2001
11/14/2001
1/24/2002
4/17/2002
7/25/2002
10/24/2002
2/7/2003
4/24/2003
7/24/2003
10/30/2003
1/29/2004
4/22/2004
7/29/2004
10/29/2004
1/28/2005
5/6/2005
7/29/2005
10/28/2005
1/27/2006
5/5/2006
7/26/2006
10/25/2006
1/25/2007
5/3/2007
7/25/2007
10/24/2007
1/24/2008
5/1/2008
7/24/2008
10/23/2008
1/29/2009
4/30/2009
7/29/2009
10/26/2009
2/3/2010
4/28/2010
7/28/2010
11/2/2010
1/31/2011
5/9/2011
7/28/2011
10/31/2011
1/30/2012
5/2/2012
7/26/2012
10/30/2012
1/30/2013
5/1/2013
7/25/2013
10/29/2013
1/28/2014
5/7/2014
7/30/2014
10/29/2014
1/28/2015
5/7/2015
7/29/2015
10/28/2015
1/28/2016
05/04/2016
07/28/2016
11/03/2016
02/02/2017
05/03/2017
