MPAA
LATEST_ANNOUNCEMENT_DT
5/20/1996
11/13/1996
2/4/1997
5/22/1997
8/12/1997
10/29/1997
1/26/1998
6/3/1998
8/10/1998
11/10/1998
2/3/1999
8/2/1999
7/1/2001
1/18/2001
1/18/2001
3/29/2001
6/29/2001
8/6/2001
11/13/2001
2/8/2002
7/1/2002
8/20/2002
11/14/2002
2/14/2003
6/27/2003
8/14/2003
11/11/2003
2/17/2004
6/29/2004
8/17/2004
11/16/2004
7/27/2005
9/6/2005
10/14/2005
11/14/2005
2/14/2006
7/13/2006
8/14/2006
2/20/2007
2/20/2007
6/29/2007
8/9/2007
11/9/2007
2/11/2008
6/16/2008
8/11/2008
11/10/2008
2/9/2009
6/15/2009
8/10/2009
11/4/2009
2/8/2010
6/14/2010
8/9/2010
11/8/2010
2/7/2011
6/13/2011
8/15/2011
3/7/2012
5/14/2012
9/28/2012
11/28/2012
12/18/2012
2/15/2013
6/17/2013
8/9/2013
11/12/2013
2/10/2014
6/16/2014
8/11/2014
11/10/2014
2/9/2015
6/15/2015
8/10/2015
11/9/2015
2/9/2016
06/14/2016
08/08/2016
11/09/2016
02/09/2017
06/13/2017
