TREX
LATEST_ANNOUNCEMENT_DT
5/13/1999
8/9/1999
11/2/1999
2/17/2000
4/26/2000
8/8/2000
11/2/2000
2/26/2001
4/23/2001
7/23/2001
10/29/2001
2/25/2002
4/18/2002
7/29/2002
10/28/2002
2/26/2003
4/23/2003
7/28/2003
10/27/2003
2/23/2004
4/20/2004
7/22/2004
10/25/2004
2/17/2005
4/27/2005
7/27/2005
10/26/2005
2/16/2006
4/27/2006
7/27/2006
11/1/2006
3/26/2007
5/4/2007
7/31/2007
11/6/2007
2/26/2008
5/6/2008
7/30/2008
10/29/2008
2/27/2009
4/30/2009
7/29/2009
11/9/2009
2/26/2010
4/30/2010
8/3/2010
11/2/2010
2/28/2011
5/2/2011
8/1/2011
10/31/2011
2/27/2012
5/7/2012
7/26/2012
11/1/2012
2/19/2013
5/3/2013
8/6/2013
10/25/2013
2/24/2014
5/5/2014
8/4/2014
10/27/2014
2/24/2015
5/8/2015
8/3/2015
10/27/2015
2/23/2016
05/10/2016
08/01/2016
11/07/2016
02/21/2017
05/09/2017
