WKR
LATEST_ANNOUNCEMENT_DT
5/28/1996
8/27/1996
12/19/1996
3/3/1997
6/3/1997
9/5/1997
12/15/1997
3/2/1998
8/31/1998
12/14/1998
3/1/1999
6/14/1999
