LGND
LATEST_ANNOUNCEMENT_DT
5/8/1996
8/14/1996
11/8/1996
3/31/1997
5/14/1997
8/14/1997
11/17/1997
2/5/1998
5/15/1998
8/14/1998
11/13/1998
3/30/1999
5/12/1999
8/16/1999
11/15/1999
3/9/2000
5/15/2000
8/14/2000
11/13/2000
3/19/2001
4/30/2001
8/1/2001
10/26/2001
3/11/2002
5/2/2002
8/13/2002
11/12/2002
2/25/2003
4/24/2003
7/28/2003
10/31/2003
3/3/2004
5/5/2004
8/3/2004
11/9/2004
11/18/2005
12/9/2005
12/9/2005
12/9/2005
3/16/2006
5/15/2006
8/9/2006
11/14/2006
3/15/2007
5/10/2007
8/8/2007
11/8/2007
2/20/2008
5/1/2008
7/31/2008
11/6/2008
2/13/2009
5/11/2009
8/3/2009
11/9/2009
2/9/2010
5/5/2010
8/5/2010
11/9/2010
2/15/2011
5/10/2011
8/8/2011
11/8/2011
2/7/2012
5/2/2012
8/8/2012
11/5/2012
2/13/2013
5/8/2013
8/1/2013
10/30/2013
2/11/2014
5/7/2014
8/4/2014
10/27/2014
2/9/2015
5/11/2015
8/4/2015
11/9/2015
2/10/2016
05/04/2016
08/04/2016
11/03/2016
02/23/2017
05/03/2017
