FTBK
LATEST_ANNOUNCEMENT_DT
7/9/1998
1/20/1999
4/15/1999
7/14/1999
10/18/1999
1/19/2000
4/17/2000
7/17/2000
10/16/2000
1/22/2001
4/16/2001
7/23/2001
10/22/2001
1/22/2002
4/18/2002
7/22/2002
10/21/2002
1/21/2003
4/16/2003
7/24/2003
10/20/2003
1/20/2004
4/20/2004
7/19/2004
10/28/2004
1/20/2005
4/20/2005
7/21/2005
10/21/2005
1/23/2006
4/19/2006
7/24/2006
10/19/2006
1/22/2007
4/24/2007
7/24/2007
10/22/2007
1/24/2008
4/22/2008
7/22/2008
10/23/2008
1/29/2009
4/23/2009
7/29/2009
10/29/2009
1/29/2010
3/31/2010
