SPN
LATEST_ANNOUNCEMENT_DT
5/14/1996
7/30/1996
10/28/1996
3/3/1997
4/29/1997
7/28/1997
10/29/1997
3/3/1998
4/28/1998
8/3/1998
11/4/1998
3/11/1999
5/11/1999
8/5/1999
11/10/1999
2/29/2000
5/4/2000
7/27/2000
10/31/2000
2/20/2001
5/3/2001
8/2/2001
11/6/2001
2/28/2002
5/2/2002
8/1/2002
11/6/2002
2/27/2003
5/2/2003
8/5/2003
11/4/2003
3/4/2004
4/29/2004
8/2/2004
11/3/2004
2/23/2005
4/28/2005
8/1/2005
11/3/2005
2/24/2006
4/26/2006
7/27/2006
10/30/2006
2/26/2007
5/2/2007
7/30/2007
10/29/2007
2/26/2008
5/1/2008
7/30/2008
10/30/2008
2/19/2009
4/28/2009
7/28/2009
10/28/2009
2/24/2010
4/28/2010
7/28/2010
10/27/2010
2/23/2011
4/27/2011
7/27/2011
10/26/2011
2/23/2012
4/26/2012
7/30/2012
10/24/2012
2/26/2013
4/25/2013
7/29/2013
10/24/2013
2/25/2014
4/24/2014
7/30/2014
10/29/2014
2/19/2015
4/30/2015
7/30/2015
10/28/2015
02/22/2016
04/28/2016
07/25/2016
10/24/2016
02/21/2017
04/27/2017
