TSFG
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/17/1996
10/17/1996
1/21/1997
4/17/1997
7/17/1997
10/16/1997
1/22/1998
4/16/1998
7/16/1998
10/22/1998
4/20/1999
7/20/1999
10/19/1999
1/25/2000
4/18/2000
7/19/2000
10/25/2000
1/24/2001
4/17/2001
7/20/2001
10/23/2001
1/24/2002
4/17/2002
7/17/2002
10/16/2002
1/21/2003
4/15/2003
7/15/2003
10/21/2003
1/27/2004
4/14/2004
7/20/2004
10/19/2004
1/17/2005
4/18/2005
7/21/2005
10/20/2005
1/19/2006
4/17/2006
7/20/2006
10/19/2006
1/25/2007
4/19/2007
7/19/2007
10/18/2007
1/24/2008
4/22/2008
7/22/2008
10/21/2008
1/27/2009
4/21/2009
7/21/2009
10/20/2009
1/26/2010
4/20/2010
7/20/2010
