SRT
LATEST_ANNOUNCEMENT_DT
7/31/1997
10/29/1997
2/27/1998
4/29/1998
7/28/1998
10/30/1998
2/24/1999
4/27/1999
7/26/1999
10/27/1999
2/16/2000
4/25/2000
7/14/2000
11/13/2000
2/20/2001
5/10/2001
8/15/2001
11/6/2001
2/26/2002
5/13/2002
8/7/2002
11/7/2002
2/26/2003
5/7/2003
8/5/2003
11/5/2003
2/27/2004
5/5/2004
7/28/2004
11/4/2004
3/3/2005
5/6/2005
8/2/2005
11/2/2005
2/28/2006
5/4/2006
8/2/2006
11/1/2006
2/28/2007
5/4/2007
8/2/2007
11/1/2007
2/28/2008
5/1/2008
7/31/2008
10/30/2008
2/26/2009
5/7/2009
7/28/2009
10/29/2009
2/19/2010
5/6/2010
7/29/2010
10/28/2010
2/22/2011
4/28/2011
7/28/2011
10/27/2011
2/23/2012
5/10/2012
8/7/2012
11/6/2012
2/27/2013
5/9/2013
8/12/2013
11/7/2013
2/24/2014
5/8/2014
8/12/2014
11/13/2014
2/19/2015
5/11/2015
8/10/2015
11/3/2015
2/18/2016
