HWAY
LATEST_ANNOUNCEMENT_DT
3/20/1996
6/20/1996
11/26/1997
12/23/1996
3/20/1997
6/23/1997
12/22/1997
3/23/1998
6/23/1998
10/1/1998
12/21/1998
3/22/1999
6/21/1999
10/5/1999
12/20/1999
3/20/2000
6/20/2000
10/3/2000
12/21/2000
3/22/2001
6/21/2001
10/4/2001
12/20/2001
3/21/2002
6/20/2002
10/8/2002
12/19/2002
3/18/2003
6/19/2003
10/9/2003
12/18/2003
3/22/2004
6/17/2004
10/7/2004
12/20/2004
3/17/2005
6/20/2005
10/11/2005
12/21/2005
3/20/2006
6/26/2006
10/17/2006
1/4/2007
4/4/2007
7/5/2007
10/17/2007
12/19/2007
3/18/2008
6/18/2008
10/16/2008
4/20/2009
7/23/2009
10/22/2009
2/16/2010
4/22/2010
7/22/2010
10/21/2010
2/15/2011
4/25/2011
7/21/2011
10/24/2011
2/15/2012
4/24/2012
7/24/2012
10/18/2012
2/7/2013
4/18/2013
7/24/2013
10/24/2013
2/13/2014
4/24/2014
7/23/2014
10/23/2014
2/24/2015
4/23/2015
7/23/2015
10/29/2015
2/25/2016
04/28/2016
08/09/2016
11/01/2016
02/23/2017
