SKY
LATEST_ANNOUNCEMENT_DT
3/15/1996
6/17/1996
9/16/1996
12/16/1996
3/18/1997
6/16/1997
9/15/1997
12/15/1997
3/16/1998
6/15/1998
9/15/1998
12/15/1998
3/15/1999
6/16/1999
9/15/1999
12/15/1999
3/15/2000
6/15/2000
9/15/2000
12/15/2000
3/15/2001
6/15/2001
10/10/2001
12/17/2001
3/15/2002
6/17/2002
10/15/2002
12/18/2002
3/20/2003
6/17/2003
9/17/2003
1/14/2004
4/14/2004
6/18/2004
9/20/2004
1/10/2005
4/8/2005
7/29/2005
10/7/2005
1/6/2006
4/7/2006
8/4/2006
10/6/2006
1/5/2007
4/6/2007
8/3/2007
10/5/2007
1/4/2008
4/4/2008
7/25/2008
10/10/2008
1/9/2009
4/3/2009
7/24/2009
10/9/2009
1/8/2010
4/2/2010
8/6/2010
10/8/2010
1/7/2011
4/8/2011
7/29/2011
10/7/2011
1/6/2012
4/6/2012
7/27/2012
10/5/2012
1/11/2013
4/5/2013
7/26/2013
10/11/2013
1/10/2014
4/4/2014
8/22/2014
10/15/2014
1/14/2015
4/3/2015
8/26/2015
10/15/2015
1/14/2016
