EXPR
LATEST_ANNOUNCEMENT_DT
5/12/2010
6/10/2010
9/1/2010
12/1/2010
3/22/2011
5/24/2011
8/24/2011
11/30/2011
3/7/2012
5/22/2012
8/22/2012
11/28/2012
3/13/2013
5/30/2013
8/28/2013
12/4/2013
3/12/2014
5/29/2014
8/27/2014
12/4/2014
3/11/2015
5/28/2015
8/26/2015
12/3/2015
3/9/2016
05/25/2016
08/24/2016
12/01/2016
03/08/2017
