GK
LATEST_ANNOUNCEMENT_DT
4/30/1996
8/27/1996
10/31/1996
1/28/1997
4/29/1997
8/26/1997
10/30/1997
1/27/1998
4/28/1998
8/25/1998
10/29/1998
1/26/1999
4/27/1999
8/17/1999
10/27/1999
1/25/2000
4/25/2000
8/15/2000
10/24/2000
1/30/2001
5/1/2001
8/14/2001
10/29/2001
1/29/2002
4/30/2002
8/13/2002
10/29/2002
1/28/2003
4/29/2003
8/12/2003
10/28/2003
1/27/2004
4/27/2004
8/17/2004
11/1/2004
2/1/2005
5/3/2005
8/16/2005
11/1/2005
1/31/2006
5/2/2006
8/15/2006
10/31/2006
1/30/2007
5/1/2007
8/14/2007
10/30/2007
1/29/2008
4/29/2008
8/12/2008
10/28/2008
1/27/2009
4/28/2009
8/6/2009
10/27/2009
1/26/2010
4/27/2010
8/17/2010
11/2/2010
2/1/2011
5/3/2011
8/16/2011
11/1/2011
1/31/2012
5/1/2012
8/16/2012
10/30/2012
1/29/2013
4/30/2013
8/15/2013
10/29/2013
1/28/2014
4/29/2014
8/14/2014
10/28/2014
1/27/2015
4/30/2015
8/13/2015
10/27/2015
1/26/2016
04/26/2016
08/16/2016
11/01/2016
01/31/2017
04/25/2017
