SGNT
LATEST_ANNOUNCEMENT_DT
3/22/2011
3/22/2011
3/22/2011
3/22/2011
3/22/2011
3/22/2011
3/22/2011
3/22/2011
5/13/2011
8/9/2011
11/7/2011
2/16/2012
5/10/2012
8/9/2012
11/8/2012
2/11/2013
5/6/2013
8/6/2013
11/5/2013
2/11/2014
5/6/2014
7/30/2014
11/4/2014
2/19/2015
5/5/2015
8/4/2015
11/3/2015
2/16/2016
05/03/2016
08/30/2016
