SKO
LATEST_ANNOUNCEMENT_DT
4/2/1996
6/25/1996
9/17/1996
12/9/1996
4/3/1997
9/17/1997
12/10/1997
5/12/1998
8/12/1998
12/11/1998
3/10/1999
5/13/1999
8/12/1999
12/14/1999
3/9/2000
5/11/2000
8/10/2000
11/9/2000
3/15/2001
5/24/2001
8/16/2001
11/15/2001
3/14/2002
5/23/2002
8/22/2002
11/21/2002
3/13/2003
5/22/2003
8/21/2003
11/20/2003
3/11/2004
5/20/2004
8/19/2004
11/18/2004
3/10/2005
5/19/2005
9/8/2005
11/17/2005
