TER
LATEST_ANNOUNCEMENT_DT
2/10/1992
2/8/1993
1/25/1994
7/22/1993
10/20/1993
1/25/1994
4/22/1994
7/18/1994
10/17/1994
1/23/1995
4/17/1995
7/17/1995
10/16/1995
1/22/1996
4/15/1996
7/17/1996
10/15/1996
1/21/1997
4/15/1997
7/15/1997
10/14/1997
1/20/1998
4/14/1998
7/14/1998
10/13/1998
1/19/1999
4/20/1999
7/20/1999
10/19/1999
1/18/2000
4/18/2000
7/18/2000
10/17/2000
1/16/2001
4/17/2001
7/17/2001
10/16/2001
1/15/2002
4/16/2002
7/16/2002
10/15/2002
1/14/2003
4/15/2003
7/15/2003
10/14/2003
1/14/2004
4/20/2004
7/20/2004
10/19/2004
1/18/2005
4/19/2005
7/19/2005
10/18/2005
1/17/2006
4/18/2006
7/19/2006
10/18/2006
1/24/2007
4/18/2007
7/18/2007
10/17/2007
1/23/2008
4/22/2008
7/23/2008
10/22/2008
1/28/2009
4/29/2009
7/29/2009
10/28/2009
1/27/2010
4/21/2010
7/28/2010
10/27/2010
1/26/2011
4/27/2011
7/27/2011
10/26/2011
1/25/2012
4/25/2012
7/25/2012
10/24/2012
1/23/2013
4/24/2013
7/24/2013
10/23/2013
1/22/2014
4/23/2014
7/23/2014
10/22/2014
1/28/2015
4/30/2015
7/29/2015
10/27/2015
01/27/2016
04/27/2016
07/27/2016
10/26/2016
01/25/2017
04/26/2017
