KELYA
LATEST_ANNOUNCEMENT_DT
4/26/1996
7/29/1996
10/24/1996
1/31/1997
4/24/1997
7/24/1997
11/4/1997
2/4/1998
4/24/1998
7/23/1998
10/22/1998
1/28/1999
4/29/1999
7/29/1999
10/28/1999
1/27/2000
4/26/2000
7/27/2000
10/23/2000
1/25/2001
4/24/2001
7/26/2001
10/23/2001
1/24/2002
4/23/2002
7/23/2002
10/22/2002
1/22/2003
4/22/2003
7/22/2003
10/21/2003
1/21/2004
4/20/2004
7/20/2004
10/19/2004
1/26/2005
4/26/2005
7/26/2005
10/24/2005
1/25/2006
4/25/2006
7/25/2006
10/24/2006
1/25/2007
4/24/2007
7/24/2007
10/23/2007
1/24/2008
4/22/2008
7/22/2008
10/21/2008
1/22/2009
4/28/2009
8/5/2009
11/6/2009
2/5/2010
5/12/2010
8/11/2010
11/10/2010
2/3/2011
5/11/2011
8/10/2011
11/9/2011
2/2/2012
5/9/2012
8/8/2012
11/7/2012
1/31/2013
5/8/2013
8/7/2013
11/6/2013
1/30/2014
5/7/2014
8/6/2014
11/5/2014
1/29/2015
5/6/2015
8/5/2015
11/4/2015
2/4/2016
05/11/2016
08/10/2016
11/07/2016
02/02/2017
05/10/2017
