CTS
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/17/1996
10/16/1996
1/28/1997
4/14/1997
7/17/1997
10/13/1997
1/29/1998
4/16/1998
7/16/1998
10/15/1998
1/28/1999
4/28/1999
7/28/1999
10/27/1999
1/26/2000
4/25/2000
7/26/2000
10/25/2000
1/23/2001
4/18/2001
7/19/2001
10/18/2001
1/28/2002
4/23/2002
7/23/2002
10/21/2002
1/27/2003
4/22/2003
7/23/2003
10/22/2003
1/26/2004
4/20/2004
7/20/2004
10/18/2004
1/27/2005
4/26/2005
7/27/2005
10/25/2005
1/31/2006
4/25/2006
7/26/2006
10/24/2006
3/30/2007
5/23/2007
7/30/2007
10/23/2007
1/30/2008
4/29/2008
7/29/2008
10/28/2008
1/28/2009
4/28/2009
7/27/2009
10/27/2009
1/27/2010
4/27/2010
7/26/2010
10/26/2010
1/26/2011
4/26/2011
7/25/2011
10/25/2011
1/25/2012
4/24/2012
7/23/2012
10/23/2012
1/28/2013
4/23/2013
7/22/2013
10/28/2013
2/6/2014
4/28/2014
7/28/2014
10/27/2014
2/5/2015
4/27/2015
7/27/2015
10/26/2015
2/8/2016
05/03/2016
07/29/2016
10/28/2016
02/07/2017
05/02/2017
