AIR
LATEST_ANNOUNCEMENT_DT
3/13/1996
7/1/1996
9/16/1996
12/12/1996
3/13/1997
6/25/1997
9/17/1997
12/11/1997
3/12/1998
6/25/1998
9/15/1998
12/16/1998
3/15/1999
6/24/1999
9/15/1999
12/16/1999
3/15/2000
6/28/2000
9/20/2000
12/20/2000
3/20/2001
6/28/2001
9/20/2001
12/20/2001
3/20/2002
6/27/2002
9/26/2002
12/19/2002
3/27/2003
7/3/2003
9/17/2003
12/18/2003
3/17/2004
6/29/2004
9/22/2004
12/17/2004
3/16/2005
7/13/2005
9/21/2005
12/22/2005
3/22/2006
7/12/2006
9/20/2006
12/20/2006
3/21/2007
7/11/2007
9/19/2007
12/18/2007
3/18/2008
7/9/2008
9/16/2008
12/16/2008
3/17/2009
7/14/2009
9/22/2009
12/15/2009
3/16/2010
7/13/2010
9/15/2010
12/15/2010
3/15/2011
7/6/2011
9/15/2011
12/15/2011
3/20/2012
7/17/2012
9/19/2012
12/18/2012
3/19/2013
7/25/2013
9/24/2013
12/19/2013
3/20/2014
7/15/2014
9/23/2014
12/18/2014
3/30/2015
7/13/2015
9/24/2015
12/17/2015
3/22/2016
07/12/2016
09/22/2016
12/21/2016
03/28/2017
