WIC
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/23/1996
10/29/1996
1/28/1997
4/24/1997
7/22/1997
10/29/1997
1/27/1998
4/23/1998
7/28/1998
10/28/1998
1/26/1999
4/22/1999
7/27/1999
10/22/1999
1/25/2000
