LZB
LATEST_ANNOUNCEMENT_DT
5/30/1996
8/14/1996
11/12/1996
2/5/1997
5/29/1997
8/5/1997
11/4/1997
2/3/1998
5/21/1998
8/4/1998
11/4/1998
2/2/1999
5/20/1999
8/4/1999
11/3/1999
2/7/2000
5/31/2000
8/9/2000
11/8/2000
2/7/2001
5/30/2001
8/15/2001
11/14/2001
2/13/2002
5/29/2002
8/14/2002
11/12/2002
2/11/2003
5/28/2003
8/12/2003
11/10/2003
2/10/2004
5/25/2004
8/9/2004
11/9/2004
2/8/2005
6/7/2005
8/22/2005
11/15/2005
2/14/2006
6/6/2006
8/15/2006
11/14/2006
2/13/2007
6/19/2007
8/14/2007
11/13/2007
2/19/2008
6/16/2008
8/19/2008
11/18/2008
2/17/2009
6/15/2009
8/18/2009
11/17/2009
2/16/2010
6/14/2010
8/17/2010
11/22/2010
2/15/2011
6/21/2011
8/23/2011
11/30/2011
2/21/2012
6/19/2012
8/21/2012
11/28/2012
2/19/2013
6/18/2013
8/20/2013
11/19/2013
2/18/2014
6/17/2014
8/19/2014
11/18/2014
2/17/2015
6/16/2015
8/18/2015
11/17/2015
2/17/2016
06/21/2016
08/23/2016
11/30/2016
02/21/2017
06/20/2017
