PLT
LATEST_ANNOUNCEMENT_DT
5/3/1996
7/22/1996
10/21/1996
1/9/1997
4/21/1997
7/15/1997
10/13/1997
1/12/1998
4/21/1998
7/14/1998
10/13/1998
1/12/1999
4/20/1999
7/13/1999
10/12/1999
1/11/2000
4/25/2000
7/18/2000
10/17/2000
1/16/2001
4/24/2001
7/17/2001
10/16/2001
1/15/2002
4/23/2002
7/16/2002
10/15/2002
1/14/2003
4/22/2003
7/15/2003
10/15/2003
1/13/2004
4/27/2004
7/20/2004
10/19/2004
1/18/2005
4/26/2005
7/19/2005
11/1/2005
1/24/2006
5/2/2006
7/25/2006
10/24/2006
1/22/2007
5/1/2007
7/24/2007
10/23/2007
1/22/2008
4/29/2008
7/22/2008
10/22/2008
1/27/2009
5/5/2009
7/28/2009
10/27/2009
1/26/2010
5/4/2010
7/26/2010
11/2/2010
2/1/2011
5/3/2011
8/1/2011
11/1/2011
1/31/2012
5/1/2012
8/6/2012
10/30/2012
1/29/2013
5/7/2013
8/6/2013
10/29/2013
1/27/2014
4/29/2014
7/29/2014
10/28/2014
1/26/2015
4/27/2015
7/27/2015
11/5/2015
2/1/2016
05/03/2016
08/02/2016
11/01/2016
01/31/2017
05/01/2017
