MZIAQ
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/16/1996
11/5/1996
2/7/1997
4/22/1997
7/15/1997
11/4/1997
2/5/1998
4/28/1998
7/28/1998
10/26/1998
2/2/1999
4/27/1999
7/26/1999
10/28/1999
2/3/2000
4/18/2000
7/24/2000
10/31/2000
1/31/2001
4/20/2001
7/27/2001
11/9/2001
2/12/2002
4/23/2002
7/24/2002
11/7/2002
2/11/2003
4/23/2003
7/29/2003
10/31/2003
2/11/2004
4/26/2004
7/30/2004
11/3/2004
2/14/2005
5/5/2005
8/1/2005
11/4/2005
2/24/2006
5/1/2006
8/3/2006
11/3/2006
2/23/2007
4/30/2007
8/3/2007
11/6/2007
2/25/2008
5/6/2008
7/31/2008
11/5/2008
