HCSG
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/26/1996
10/24/1996
2/28/1997
4/16/1997
7/25/1997
10/20/1997
2/19/1998
4/21/1998
7/20/1998
10/26/1998
2/18/1999
4/26/1999
7/26/1999
10/27/1999
2/23/2000
4/25/2000
7/25/2000
10/25/2000
2/16/2001
4/24/2001
7/20/2001
10/22/2001
2/15/2002
4/22/2002
7/18/2002
10/17/2002
2/12/2003
4/22/2003
7/22/2003
10/21/2003
2/12/2004
4/20/2004
7/20/2004
10/19/2004
2/15/2005
4/19/2005
7/19/2005
10/18/2005
2/15/2006
4/18/2006
7/18/2006
10/17/2006
2/13/2007
4/17/2007
7/17/2007
10/16/2007
2/12/2008
4/15/2008
7/15/2008
10/14/2008
2/10/2009
4/14/2009
7/14/2009
10/13/2009
2/9/2010
4/13/2010
7/13/2010
10/12/2010
2/7/2011
4/13/2011
7/12/2011
10/11/2011
2/7/2012
4/27/2012
7/10/2012
10/9/2012
2/5/2013
4/9/2013
7/16/2013
10/8/2013
2/4/2014
4/8/2014
7/8/2014
10/14/2014
2/3/2015
4/14/2015
7/14/2015
10/13/2015
2/2/2016
4/12/2016
07/12/2016
10/11/2016
02/07/2017
04/11/2017
