IDA
LATEST_ANNOUNCEMENT_DT
4/24/1992
7/31/1992
10/30/1992
1/29/1993
4/30/1993
7/30/1993
10/28/1993
1/31/1994
5/2/1994
7/28/1994
10/31/1994
1/31/1995
4/24/1995
7/24/1995
10/23/1995
1/31/1996
4/22/1996
7/22/1996
10/22/1996
1/31/1997
4/22/1997
7/22/1997
10/23/1997
1/30/1998
4/29/1998
7/24/1998
10/27/1998
1/29/1999
4/26/1999
7/29/1999
10/28/1999
2/1/2000
4/26/2000
7/26/2000
10/26/2000
2/2/2001
5/4/2001
7/30/2001
10/25/2001
2/1/2002
4/25/2002
7/30/2002
11/8/2002
2/7/2003
5/7/2003
8/7/2003
11/6/2003
2/5/2004
5/6/2004
8/5/2004
11/4/2004
2/16/2005
5/5/2005
8/8/2005
11/3/2005
2/9/2006
5/9/2006
8/8/2006
11/2/2006
2/15/2007
5/9/2007
8/8/2007
10/31/2007
2/14/2008
5/8/2008
8/7/2008
11/6/2008
2/19/2009
5/7/2009
8/6/2009
10/29/2009
2/23/2010
5/6/2010
8/5/2010
10/28/2010
2/23/2011
5/5/2011
8/4/2011
11/3/2011
2/22/2012
5/3/2012
8/2/2012
11/1/2012
2/21/2013
5/2/2013
8/1/2013
11/5/2013
2/20/2014
5/1/2014
7/31/2014
10/30/2014
2/19/2015
4/30/2015
7/30/2015
10/29/2015
02/18/2016
04/28/2016
07/28/2016
10/27/2016
02/23/2017
04/27/2017
