IPMT
LATEST_ANNOUNCEMENT_DT
6/17/2003
8/6/2003
11/11/2003
2/18/2004
5/5/2004
8/4/2004
11/3/2004
2/17/2005
5/5/2005
8/4/2005
11/3/2005
2/24/2006
5/15/2006
8/15/2006
11/14/2006
3/8/2007
5/14/2007
8/13/2007
11/13/2007
3/14/2008
5/12/2008
8/11/2008
11/10/2008
3/31/2009
5/12/2009
8/14/2009
11/13/2009
3/26/2010
5/12/2010
8/13/2010
11/15/2010
3/21/2011
5/12/2011
8/15/2011
11/14/2011
3/22/2012
5/11/2012
8/13/2012
1/31/2013
4/2/2013
5/15/2013
8/14/2013
11/14/2013
3/28/2014
5/14/2014
8/14/2014
11/17/2014
