EXR
LATEST_ANNOUNCEMENT_DT
7/2/2004
9/27/2004
11/22/2004
3/15/2005
5/10/2005
8/15/2005
11/14/2005
3/13/2006
5/4/2006
8/4/2006
11/2/2006
2/27/2007
4/25/2007
8/1/2007
10/30/2007
2/19/2008
4/28/2008
7/29/2008
10/28/2008
2/18/2009
5/4/2009
8/3/2009
11/2/2009
2/22/2010
5/3/2010
7/28/2010
10/28/2010
2/22/2011
4/27/2011
7/28/2011
10/27/2011
2/21/2012
4/30/2012
7/30/2012
10/29/2012
2/21/2013
4/29/2013
8/1/2013
10/28/2013
2/20/2014
4/28/2014
7/30/2014
10/29/2014
2/19/2015
4/29/2015
7/29/2015
10/28/2015
2/23/2016
05/02/2016
07/27/2016
10/26/2016
02/21/2017
05/01/2017
