OSIS
LATEST_ANNOUNCEMENT_DT
11/5/1997
1/29/1998
4/29/1998
8/12/1998
11/5/1998
2/3/1999
4/29/1999
8/26/1999
11/4/1999
2/3/2000
4/27/2000
8/21/2000
10/26/2000
2/1/2001
5/3/2001
8/28/2001
10/25/2001
1/29/2002
4/25/2002
8/21/2002
10/24/2002
1/29/2003
5/2/2003
8/20/2003
10/29/2003
1/28/2004
4/29/2004
8/26/2004
10/28/2004
1/27/2005
5/4/2005
9/12/2005
11/3/2005
2/9/2006
5/15/2006
9/13/2006
11/7/2006
2/7/2007
5/7/2007
9/5/2007
11/6/2007
2/5/2008
5/1/2008
8/27/2008
10/30/2008
1/29/2009
4/30/2009
8/27/2009
10/27/2009
1/27/2010
4/26/2010
8/25/2010
10/26/2010
1/25/2011
4/26/2011
8/25/2011
10/25/2011
1/24/2012
4/24/2012
8/9/2012
10/23/2012
1/24/2013
4/24/2013
8/14/2013
10/23/2013
1/28/2014
4/30/2014
8/25/2014
10/23/2014
1/26/2015
4/27/2015
8/20/2015
10/29/2015
1/27/2016
04/27/2016
08/16/2016
10/27/2016
01/26/2017
04/26/2017
