SYRG
LATEST_ANNOUNCEMENT_DT
12/7/2007
5/14/2008
8/12/2008
1/23/2009
4/7/2009
7/9/2009
11/17/2009
1/13/2010
4/14/2010
7/15/2010
11/24/2010
1/13/2011
4/12/2011
7/15/2011
11/14/2011
1/9/2012
4/9/2012
7/10/2012
11/13/2012
1/9/2013
4/9/2013
7/10/2013
11/5/2013
1/7/2014
4/4/2014
7/9/2014
10/28/2014
1/9/2015
4/9/2015
7/9/2015
10/15/2015
1/7/2016
05/06/2016
08/04/2016
11/03/2016
02/23/2017
05/06/2017
