ALGN
LATEST_ANNOUNCEMENT_DT
2/26/2001
4/26/2001
7/25/2001
10/22/2001
2/12/2002
4/24/2002
7/24/2002
10/24/2002
2/13/2003
4/24/2003
7/24/2003
10/23/2003
1/29/2004
4/22/2004
7/22/2004
10/21/2004
1/26/2005
4/20/2005
7/20/2005
10/26/2005
1/25/2006
4/26/2006
7/26/2006
10/25/2006
1/30/2007
4/26/2007
7/25/2007
10/24/2007
1/29/2008
4/29/2008
7/29/2008
10/28/2008
1/28/2009
4/23/2009
7/23/2009
10/22/2009
1/27/2010
4/22/2010
7/22/2010
10/21/2010
1/26/2011
4/20/2011
8/1/2011
10/27/2011
1/30/2012
4/23/2012
7/19/2012
10/17/2012
1/30/2013
4/18/2013
7/18/2013
10/17/2013
1/30/2014
4/23/2014
7/24/2014
10/23/2014
1/29/2015
4/23/2015
7/23/2015
10/22/2015
1/28/2016
04/28/2016
07/28/2016
11/07/2016
01/31/2017
04/27/2017
