FELE
LATEST_ANNOUNCEMENT_DT
4/10/1996
7/11/1996
10/10/1996
1/31/1997
4/9/1997
7/10/1997
10/9/1997
1/30/1998
4/15/1998
7/16/1998
10/14/1998
1/29/1999
4/14/1999
7/15/1999
11/10/1999
1/28/2000
4/12/2000
7/12/2000
10/12/2000
1/26/2001
4/12/2001
7/13/2001
10/12/2001
1/25/2002
4/12/2002
7/11/2002
10/10/2002
1/24/2003
4/10/2003
7/11/2003
10/9/2003
1/30/2004
4/15/2004
7/15/2004
10/14/2004
1/27/2005
4/14/2005
7/15/2005
10/14/2005
1/27/2006
4/17/2006
7/17/2006
10/23/2006
2/1/2007
4/24/2007
7/30/2007
10/23/2007
2/25/2008
4/28/2008
7/28/2008
10/27/2008
3/2/2009
4/23/2009
7/27/2009
10/26/2009
2/17/2010
4/29/2010
8/2/2010
11/1/2010
2/28/2011
5/4/2011
8/3/2011
11/2/2011
2/21/2012
5/2/2012
7/31/2012
11/5/2012
2/20/2013
4/30/2013
7/30/2013
10/30/2013
2/19/2014
4/29/2014
7/28/2014
10/29/2014
2/24/2015
4/28/2015
7/28/2015
10/27/2015
2/23/2016
05/02/2016
07/26/2016
10/25/2016
02/21/2017
05/01/2017
