CES
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/25/1996
10/24/1996
1/30/1997
4/24/1997
7/24/1997
10/23/1997
1/29/1998
4/28/1998
7/23/1998
1/28/1999
4/23/1999
7/22/1999
