NATR
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/17/1996
10/18/1996
2/10/1997
4/16/1997
7/17/1997
10/16/1997
2/3/1998
4/21/1998
7/16/1998
10/19/1998
2/2/1999
4/20/1999
7/21/1999
10/19/1999
2/8/2000
4/25/2000
7/20/2000
10/18/2000
2/6/2001
4/19/2001
7/23/2001
10/22/2001
2/12/2002
4/23/2002
7/23/2002
10/22/2002
2/18/2003
4/21/2003
7/29/2003
10/30/2003
2/25/2004
4/20/2004
7/21/2004
10/20/2004
2/15/2005
4/19/2005
7/19/2005
10/27/2005
10/7/2008
10/7/2008
10/7/2008
10/7/2008
10/7/2008
10/7/2008
10/7/2008
10/7/2008
10/7/2008
12/31/2008
12/31/2008
12/31/2008
3/20/2009
5/12/2009
8/10/2009
11/6/2009
3/15/2010
5/7/2010
7/30/2010
11/9/2010
3/11/2011
5/6/2011
8/3/2011
11/7/2011
3/5/2012
5/7/2012
8/1/2012
11/2/2012
3/6/2013
5/8/2013
8/8/2013
11/6/2013
3/17/2014
5/7/2014
8/6/2014
11/5/2014
2/25/2015
5/7/2015
8/10/2015
11/3/2015
2/25/2016
