696139Q
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/24/1996
10/23/1996
2/20/1997
4/30/1997
7/24/1997
10/28/1997
2/18/1998
4/29/1998
7/28/1998
10/29/1998
2/25/1999
4/29/1999
7/27/1999
10/27/1999
2/23/2000
4/26/2000
7/31/2000
10/31/2000
2/27/2001
4/30/2001
7/26/2001
10/25/2001
3/7/2002
5/6/2002
8/1/2002
11/5/2002
3/14/2003
5/6/2003
8/1/2003
11/4/2003
3/16/2004
5/10/2004
8/9/2004
11/9/2004
