TESO
LATEST_ANNOUNCEMENT_DT
5/9/1996
7/30/1996
5/13/1997
7/15/1997
10/14/1997
1/20/1998
5/5/1998
7/14/1998
10/13/1998
1/11/1999
5/26/1999
5/19/2000
8/15/2000
11/15/2000
3/21/2001
5/10/2001
8/24/2001
11/15/2001
3/14/2002
5/16/2002
8/15/2002
11/13/2002
3/20/2003
5/19/2003
8/7/2003
11/5/2003
3/17/2004
5/5/2004
8/6/2004
11/3/2004
3/30/2005
5/12/2005
8/4/2005
11/3/2005
3/16/2006
5/8/2006
8/8/2006
11/6/2006
3/8/2007
5/3/2007
8/2/2007
11/7/2007
2/24/2008
5/1/2008
8/5/2008
11/3/2008
2/26/2009
5/6/2009
8/5/2009
11/3/2009
2/25/2010
5/6/2010
8/5/2010
11/8/2010
2/24/2011
5/5/2011
8/4/2011
11/7/2011
2/23/2012
5/3/2012
8/6/2012
11/5/2012
2/28/2013
5/6/2013
8/6/2013
11/4/2013
2/28/2014
5/5/2014
8/1/2014
11/4/2014
3/31/2015
5/8/2015
8/6/2015
11/4/2015
3/1/2016
05/10/2016
08/09/2016
11/04/2016
02/28/2017
05/09/2017
