BLUD
LATEST_ANNOUNCEMENT_DT
4/10/1996
7/23/1996
10/9/1996
1/14/1997
4/14/1997
8/7/1997
10/13/1997
1/14/1998
4/14/1998
7/14/1998
10/5/1998
1/6/1999
3/31/1999
7/21/1999
10/6/1999
1/4/2000
4/5/2000
7/31/2000
10/12/2000
1/11/2001
4/12/2001
9/17/2001
10/15/2001
12/21/2001
3/27/2002
7/17/2002
10/2/2002
1/7/2003
4/2/2003
7/16/2003
10/1/2003
1/7/2004
3/25/2004
7/21/2004
9/29/2004
1/7/2005
4/6/2005
8/3/2005
11/10/2005
1/5/2006
4/5/2006
7/26/2006
10/4/2006
1/3/2007
4/4/2007
7/25/2007
10/3/2007
1/7/2008
4/1/2008
7/23/2008
10/1/2008
1/7/2009
4/6/2009
7/23/2009
10/1/2009
1/6/2010
3/31/2010
7/22/2010
10/6/2010
1/6/2011
4/6/2011
7/20/2011
11/22/2011
1/13/2012
4/11/2012
7/27/2012
10/10/2012
1/14/2013
4/12/2013
8/26/2013
10/15/2013
1/13/2014
4/14/2014
8/26/2014
10/10/2014
1/13/2015
4/11/2015
8/21/2015
10/13/2015
1/13/2016
4/11/2016
