POG
LATEST_ANNOUNCEMENT_DT
8/13/1996
11/8/1996
2/26/1997
5/5/1997
7/24/1997
10/27/1997
2/23/1998
5/4/1998
8/4/1998
10/30/1998
3/2/1999
4/28/1999
7/26/1999
10/26/1999
2/18/2000
4/25/2000
7/25/2000
10/24/2000
2/21/2001
4/30/2001
7/30/2001
10/31/2001
2/19/2002
5/1/2002
7/31/2002
10/30/2002
2/26/2003
4/30/2003
7/30/2003
10/29/2003
2/24/2004
4/28/2004
7/28/2004
10/27/2004
2/23/2005
5/2/2005
