ATW
LATEST_ANNOUNCEMENT_DT
4/26/1996
7/31/1996
11/18/1996
1/23/1997
4/23/1997
7/24/1997
11/24/1997
1/26/1998
4/27/1998
7/27/1998
11/23/1998
1/27/1999
4/28/1999
7/29/1999
11/23/1999
1/31/2000
5/2/2000
8/3/2000
11/21/2000
2/7/2001
5/2/2001
8/1/2001
11/19/2001
1/30/2002
4/30/2002
7/31/2002
11/18/2002
1/30/2003
4/29/2003
7/29/2003
11/18/2003
1/29/2004
4/28/2004
7/29/2004
11/16/2004
1/27/2005
4/28/2005
7/28/2005
12/2/2005
1/30/2006
4/27/2006
7/28/2006
12/7/2006
2/6/2007
5/8/2007
8/7/2007
11/28/2007
2/7/2008
5/8/2008
8/7/2008
11/24/2008
2/4/2009
5/6/2009
8/5/2009
11/23/2009
2/3/2010
5/4/2010
8/4/2010
11/18/2010
2/2/2011
5/3/2011
8/3/2011
11/17/2011
2/1/2012
5/1/2012
8/1/2012
11/15/2012
1/30/2013
5/1/2013
7/31/2013
11/7/2013
2/4/2014
4/30/2014
7/30/2014
11/10/2014
2/3/2015
4/29/2015
7/29/2015
11/9/2015
2/2/2016
05/05/2016
08/01/2016
11/11/2016
02/03/2017
05/04/2017
