MDRX
LATEST_ANNOUNCEMENT_DT
2/6/2003
2/19/2004
2/17/2005
5/8/2007
8/7/2007
11/8/2007
2/13/2008
4/30/2008
7/30/2009
11/10/2008
1/8/2009
4/2/2009
7/20/2009
9/29/2009
1/10/2010
4/8/2010
2/15/2011
5/5/2011
8/2/2011
11/3/2011
2/16/2012
4/26/2012
8/8/2012
11/8/2012
2/19/2013
5/9/2013
8/8/2013
11/7/2013
2/20/2014
5/8/2014
8/7/2014
11/6/2014
2/26/2015
5/7/2015
8/4/2015
11/5/2015
2/18/2016
05/05/2016
08/04/2016
11/03/2016
02/16/2017
05/04/2017
