AGYS
LATEST_ANNOUNCEMENT_DT
5/2/1996
7/16/1996
10/17/1996
1/14/1997
5/1/1997
7/23/1997
10/23/1997
1/22/1998
5/7/1998
7/22/1998
10/22/1998
1/21/1999
5/6/1999
7/26/1999
10/21/1999
1/20/2000
5/9/2000
7/20/2000
10/26/2000
1/30/2001
5/8/2001
7/23/2001
10/25/2001
1/30/2002
5/7/2002
7/25/2002
11/4/2002
2/3/2003
5/13/2003
7/24/2003
10/30/2003
2/2/2004
5/12/2004
7/26/2004
11/2/2004
2/9/2005
5/10/2005
8/4/2005
11/8/2005
2/9/2006
5/22/2006
8/3/2006
11/6/2006
2/5/2007
5/25/2007
8/2/2007
11/1/2007
2/1/2008
6/2/2008
12/29/2008
1/13/2009
2/9/2009
6/5/2009
8/5/2009
11/4/2009
2/3/2010
6/3/2010
8/4/2010
11/4/2010
2/2/2011
6/14/2011
8/9/2011
11/9/2011
2/9/2012
6/7/2012
7/26/2012
10/25/2012
1/31/2013
6/12/2013
7/25/2013
11/7/2013
1/30/2014
5/14/2014
8/7/2014
11/5/2014
2/4/2015
5/28/2015
8/5/2015
11/4/2015
2/3/2016
