VTRO
LATEST_ANNOUNCEMENT_DT
5/16/2000
8/14/2000
11/14/2000
4/2/2001
5/15/2001
7/23/2001
10/22/2001
2/12/2002
4/23/2002
8/13/2002
10/21/2002
2/4/2003
4/30/2003
7/21/2003
10/20/2003
2/9/2004
4/26/2004
7/26/2004
11/1/2004
2/23/2005
5/5/2005
8/15/2005
11/7/2005
3/13/2006
5/8/2006
8/9/2006
11/8/2006
3/14/2007
5/7/2007
8/6/2007
11/8/2007
3/13/2008
5/12/2008
8/11/2008
11/10/2008
3/31/2009
5/20/2009
8/12/2009
11/11/2009
3/25/2010
5/11/2010
8/5/2010
11/4/2010
3/9/2011
5/12/2011
8/10/2011
11/9/2011
