RDC
LATEST_ANNOUNCEMENT_DT
1/14/1992
1/14/1993
4/16/1992
7/14/1992
10/12/1992
1/14/1993
4/13/1993
7/14/1993
10/12/1993
1/14/1994
4/14/1994
7/14/1994
10/12/1994
1/17/1995
4/13/1995
7/13/1995
10/12/1995
1/16/1996
4/11/1996
7/15/1996
10/14/1996
1/15/1997
4/14/1997
7/14/1997
10/13/1997
1/14/1998
4/14/1998
7/13/1998
10/13/1998
1/13/1999
4/14/1999
7/14/1999
10/13/1999
1/13/2000
4/13/2000
7/13/2000
10/17/2000
1/12/2001
4/11/2001
7/11/2001
10/17/2001
1/15/2002
4/16/2002
7/16/2002
10/16/2002
1/13/2003
4/16/2003
7/15/2003
10/15/2003
1/15/2004
4/14/2004
7/15/2004
10/14/2004
1/19/2005
4/22/2005
8/2/2005
11/1/2005
3/1/2006
4/26/2006
7/25/2006
10/31/2006
2/27/2007
5/2/2007
8/2/2007
11/1/2007
2/28/2008
5/1/2008
8/5/2008
11/4/2008
2/26/2009
5/7/2009
8/4/2009
11/3/2009
3/1/2010
5/4/2010
8/3/2010
11/2/2010
2/25/2011
5/3/2011
8/2/2011
11/1/2011
2/28/2012
5/2/2012
8/2/2012
10/31/2012
2/28/2013
5/1/2013
8/6/2013
11/5/2013
2/27/2014
5/6/2014
8/6/2014
11/5/2014
2/27/2015
5/6/2015
8/5/2015
11/03/2015
02/26/2016
05/04/2016
08/02/2016
11/01/2016
02/24/2017
05/03/2017
